number,A1,A2,A3,A4,A5,A6,A7
388,concession,individual,trip_other,trip_other,trip_other,Buy,Cancel
389,concession,individual,trip_other,trip_other,trip_other,trip_1,Cancel
390,concession,individual,trip_other,trip_other,trip_other,trip_2,Cancel
391,concession,individual,trip_other,trip_other,trip_other,trip_other,Cancel
392,country_trains,concession,daily,Buy,ok,Buy,Cancel
393,country_trains,concession,daily,Buy,ok,trip_1,Cancel
394,country_trains,concession,daily,Buy,ok,trip_2,Cancel
395,country_trains,concession,daily,Buy,ok,trip_other,Cancel
396,country_trains,concession,individual,Buy,ok,Buy,Cancel
397,country_trains,concession,individual,Buy,ok,trip_1,Cancel
398,country_trains,concession,individual,Buy,ok,trip_2,Cancel
399,country_trains,concession,individual,Buy,ok,trip_other,Cancel
400,country_trains,concession,individual,trip_1,Buy,ok,Cancel
401,country_trains,concession,individual,trip_1,trip_1,Buy,Cancel
402,country_trains,concession,individual,trip_1,trip_1,trip_1,Cancel
403,country_trains,concession,individual,trip_1,trip_1,trip_2,Cancel
404,country_trains,concession,individual,trip_1,trip_1,trip_other,Cancel
405,country_trains,concession,individual,trip_1,trip_2,Buy,Cancel
406,country_trains,concession,individual,trip_1,trip_2,trip_1,Cancel
407,country_trains,concession,individual,trip_1,trip_2,trip_2,Cancel
408,country_trains,concession,individual,trip_1,trip_2,trip_other,Cancel
409,country_trains,concession,individual,trip_1,trip_other,Buy,Cancel
410,country_trains,concession,individual,trip_1,trip_other,trip_1,Cancel
411,country_trains,concession,individual,trip_1,trip_other,trip_2,Cancel
412,country_trains,concession,individual,trip_1,trip_other,trip_other,Cancel
413,country_trains,concession,individual,trip_2,Buy,ok,Cancel
414,country_trains,concession,individual,trip_2,trip_1,Buy,Cancel
415,country_trains,concession,individual,trip_2,trip_1,trip_1,Cancel
416,country_trains,concession,individual,trip_2,trip_1,trip_2,Cancel
417,country_trains,concession,individual,trip_2,trip_1,trip_other,Cancel
418,country_trains,concession,individual,trip_2,trip_2,Buy,Cancel
419,country_trains,concession,individual,trip_2,trip_2,trip_1,Cancel
420,country_trains,concession,individual,trip_2,trip_2,trip_2,Cancel
421,country_trains,concession,individual,trip_2,trip_2,trip_other,Cancel
